OBJECTID,osm_id,code,fclass,width,name,Shape_Leng
"1","17938756","8101",river,"0",Вардар,5595.23559493000
"2","17938980","8101",river,"0",Вардар,2968.12865475000
"3","17939264","8101",river,"0",Вардар,8911.40590733000
"4","17939560","8101",river,"0",Вардар,6305.17816821000
"5","17939623","8101",river,"0",Вардар,10408.65680460000
"6","17940140","8101",river,"0",Вардар,20952.67893830000
"7","17940235","8101",river,"0",Црна Река,24712.77077930000
"8","17940546","8101",river,"0",Вардар,6169.85955347000
"9","17940861","8101",river,"0",Вардар,4946.70734141000
"10","17940875","8101",river,"0",Вардар,10935.87298990000
"11","17940885","8101",river,"0",Вардар,6935.08405491000
"12","17941279","8101",river,"0",Вардар,8114.99175600000
"13","17941398","8101",river,"0",Вардар,3954.21169972000
"14","17954038","8101",river,"0",Вардар,15395.86343460000
"15","26173027","8101",river,"0",Вардар,2492.46102749000
"16","27483896","8101",river,"0",Црна Река,34989.89476420000
"17","27483930","8101",river,"0",,2079.17687275000
"18","27490988","8102",stream,"0",,1595.31556523000
"19","27499176","8102",stream,"0",,1402.92544075000
"20","27499182","8102",stream,"0",,606.97144417800
"21","27499192","8102",stream,"0",,1671.93820705000
"22","27500662","8102",stream,"0",Ράμνο Μπορ,6298.26704336000
"23","27589728","8101",river,"0",Мала Река,1671.10388547000
"24","27653324","8102",stream,"0",Νεροφάγωμα,5010.64634356000
"25","27653325","8101",river,"0",Љубница,852.97019060200
"26","27653476","8101",river,"0",Вардар,3203.06358552000
"27","27653483","8101",river,"0",Сува Река,13966.07667510000
"28","27653502","8102",stream,"0",,2074.81685272000
"29","27653503","8102",stream,"0",,1733.08158947000
"30","27653512","8102",stream,"0",,2463.51957875000
"31","27746607","8102",stream,"0",Грајешничка Река,2933.08016531000
"32","27749173","8102",stream,"0",,3130.33730460000
"33","27833398","8102",stream,"0",Црна река,2606.55593075000
"34","27833519","8101",river,"0",Шемница,22314.40398510000
"35","27833526","8103",canal,"0",Канал Добрушево,4179.69189205000
"36","27833538","8101",river,"0",X Канал,11932.95491120000
"37","27833543","8101",river,"0",,10703.64159430000
"38","27835001","8102",stream,"0",,1012.04403503000
"39","27925320","8101",river,"0",Драгор,16693.23285420000
"40","27925323","8101",river,"0",IV Канал,5524.20605527000
"41","27992312","8101",river,"0",,2241.37412448000
"42","28061785","8102",stream,"0",,917.63214358700
"43","28061787","8102",stream,"0",,693.58647507100
"44","33071714","8101",river,"0",Луда Мара,25867.34895670000
"45","33779138","8102",stream,"0",,1038.27719657000
"46","35067874","8101",river,"0",Треска,36693.10480250000
"47","35067876","8101",river,"0",Treska,165.79283399300
"48","35068008","8101",river,"0",Slanstica,819.16739731300
"49","35373253","8101",river,"0",Тополка,30776.82146790000
"50","35373254","8101",river,"0",Бабуна,67059.14186770000
"51","40431517","8102",stream,"0",,2837.45006738000
"52","42854040","8101",river,"0",Радика,4377.26608993000
"53","86576008","8101",river,"0",Prisso,332.11575057400
"54","87175591","8102",stream,"0",,4233.33227986000
"55","87483696","8104",drain,"0",,458.81593825200
"56","87483697","8104",drain,"0",,3769.47346164000
"57","87483703","8104",drain,"0",,4909.04160026000
"58","151892795","8101",river,"10",Вардар,17005.54101530000
"59","153968697","8102",stream,"0",Жаба,13045.74906080000
"60","158432076","8101",river,"0",,2076.48743502000
"61","158432077","8101",river,"0",,712.43381026400
"62","158432080","8101",river,"0",,598.23006561300
"63","158432082","8101",river,"0",,367.25088134200
"64","158432083","8101",river,"0",,1365.95500460000
"65","158432084","8101",river,"0",,180.31616773200
"66","158432085","8101",river,"0",,47.20226353110
"67","158432086","8101",river,"0",,722.13018918100
"68","158432088","8101",river,"0",,50.00472755000
"69","158432090","8101",river,"0",,84.44196798150
"70","158432091","8101",river,"0",,229.27968795400
"71","158432092","8101",river,"0",,95.55527476870
"72","158432093","8101",river,"0",,3625.81631729000
"73","158432096","8101",river,"0",,627.65467456400
"74","158432098","8101",river,"0",,2367.88049367000
"75","158432101","8101",river,"0",,2615.46148987000
"76","158432104","8101",river,"0",,254.01549739100
"77","158432105","8101",river,"0",,2579.53528482000
"78","158432109","8101",river,"0",,3327.49204686000
"79","158432112","8104",drain,"0",Водочница,12755.28623600000
"80","158447515","8101",river,"0",,1601.14796487000
"81","159163989","8102",stream,"0",,69.93592051330
"82","159163990","8102",stream,"0",,58.30228330340
"83","159163991","8102",stream,"0",,424.31087963400
"84","159163992","8102",stream,"0",,2174.97710238000
"85","160791465","8101",river,"0",Градешка Река,25385.55828890000
"86","160791533","8102",stream,"0",Маковска Река,7748.69127573000
"87","162199957","8101",river,"0",Αξιός,79765.24223350000
"88","165850367","8102",stream,"0",,6626.61449926000
"89","167301568","8102",stream,"0",,6993.96405922000
"90","168761245","8104",drain,"0",,128.39874531500
"91","169480303","8102",stream,"0",Мавровица,9278.72073608000
"92","169480305","8102",stream,"0",,2745.31564455000
"93","169552936","8102",stream,"0",Бистра,8167.93400998000
"94","169556493","8101",river,"0",Блаштица,12207.91061690000
"95","169831478","8102",stream,"0",Сатока,19312.45365060000
"96","169831878","8102",stream,"0",,4148.75232633000
"97","169831879","8102",stream,"0",,5808.37576388000
"98","169836019","8102",stream,"0",Бутурица,15543.36223440000
"99","169837638","8102",stream,"0",Дуњска Река,5381.44852141000
"100","169850992","8102",stream,"0",,947.01906164000
"101","169850993","8101",river,"0",Дуњска Река,6894.05775738000
"102","169850994","8102",stream,"0",,212.05729251600
"103","169868686","8102",stream,"0",Крушевичка Река,8114.46168168000
"104","169868689","8102",stream,"0",Крушевичка Река,4270.81943487000
"105","169872048","8101",river,"0",Белица,9924.50963397000
"106","169924074","8101",river,"0",Бела Река,8112.16600324000
"107","170060666","8102",stream,"0",Дуњска Река,9173.47026177000
"108","170073570","8101",river,"0",,3077.11472965000
"109","170073573","8102",stream,"0",Стара Река,4438.59067745000
"110","170083395","8102",stream,"0",,5303.67297163000
"111","170184896","8102",stream,"0",,8751.45996249000
"112","170185247","8102",stream,"0",Круевичка Река,14270.77029350000
"113","170186414","8102",stream,"0",,9773.13200203000
"114","170186644","8102",stream,"0",,7550.55666527000
"115","170187161","8102",stream,"0",,11022.88789450000
"116","171596997","8102",stream,"0",,2887.68697454000
"117","171597000","8102",stream,"0",,9186.52183875000
"118","171598002","8102",stream,"0",,2001.05689059000
"119","171598003","8102",stream,"0",,1479.19312860000
"120","171598013","8102",stream,"0",Сува Река,2201.40953937000
"121","171598014","8102",stream,"0",,102.29811273600
"122","171754450","8101",river,"0",Бајковица,2475.24978233000
"123","174996300","8101",river,"0",,1625.20142818000
"124","174996316","8103",canal,"5",,818.27112967400
"125","174996322","8101",river,"1",Тркајна,14829.05385380000
"126","174996335","8103",canal,"0",,45.71580717920
"127","174996344","8103",canal,"5",,470.83350348400
"128","178887717","8102",stream,"0",Черава,2738.71735265000
"129","180556067","8101",river,"0",Конска Река,8258.31646905000
"130","180713848","8101",river,"0",Кованска Река,5082.58021105000
"131","180713889","8101",river,"0",Зуица,3126.93444507000
"132","180813434","8102",stream,"0",Неготинска Река,2124.55046919000
"133","180813466","8102",stream,"0",,487.16139960000
"134","181344781","8101",river,"0",Анска Река,18731.69942620000
"135","181569749","8102",stream,"0",,3812.44418770000
"136","181569755","8102",stream,"0",,700.59113956300
"137","181569760","8101",river,"0",Луда Мара,6701.93824566000
"138","181569768","8101",river,"0",Селемлиска Река,1054.61779097000
"139","181573749","8101",river,"0",Конска Река,5130.94248435000
"140","181580216","8102",stream,"0",,3383.33770240000
"141","184120246","8103",canal,"0",,1544.65428362000
"142","185767027","8101",river,"0",Пиринска Бистрица,1896.96514577000
"143","186112832","8101",river,"0",Вардар,6695.92839334000
"144","186112844","8101",river,"0",Вардар,748.76771319400
"145","186112846","8101",river,"0",Вардар,4417.72763697000
"146","186129816","8101",river,"0",Бошава,36359.12077270000
"147","186129829","8101",river,"0",Дошница,12262.46803220000
"148","186145614","8101",river,"0",Габрешка Река,4294.55606261000
"149","186145622","8101",river,"0",Стара Река,4057.38716172000
"150","186145624","8101",river,"0",Калица,1443.21490517000
"151","186241728","8102",stream,"0",,3739.23533582000
"152","186241730","8101",river,"0",Беличка Река,5855.70389900000
"153","186241731","8101",river,"0",Оча,881.62568963900
"154","186241733","8101",river,"0",Оча,11648.72599150000
"155","186306891","8101",river,"0",Слатинска Река,2908.14822709000
"156","187549655","8101",river,"0",,2965.50579198000
"157","187549658","8101",river,"0",,5182.20910225000
"158","187549662","8101",river,"0",,1590.01680273000
"159","187549665","8101",river,"0",Турија,20956.35690130000
"160","187549682","8101",river,"0",,984.92404055500
"161","187551712","8101",river,"0",Водочница,17285.43505540000
"162","187566100","8101",river,"0",,1818.20389183000
"163","188447991","8102",stream,"0",,5399.83145406000
"164","188458617","8102",stream,"0",Чагорска Река,7098.32473063000
"165","188458636","8101",river,"0",Боишка Река,13628.62589640000
"166","188469291","8101",river,"0",Обедничица,10756.96580450000
"167","188469293","8101",river,"0",Лажечка Река,15446.27349900000
"168","188469295","8101",river,"0",Шемница,4414.46471478000
"169","188469296","8101",river,"0",V Канал,10928.73383960000
"170","188469299","8101",river,"0",Кишавска Река,5634.51445662000
"171","188469302","8101",river,"0",,3094.31600681000
"172","188469303","8101",river,"0",,4683.25814455000
"173","188473895","8101",river,"0",Журешница,5095.85740456000
"174","188473904","8101",river,"0",Житошка Река,5797.62106891000
"175","188473905","8101",river,"0",Сажлица,2339.77969193000
"176","188664995","8101",river,"0",Ораовичка Река,5468.72920419000
"177","188665003","8101",river,"0",Ињевска Река,7707.28457634000
"178","188665017","8101",river,"0",,12543.56299670000
"179","188665066","8101",river,"0",,833.68087780400
"180","188673339","8101",river,"0",Стара Река,4218.50485902000
"181","188673343","8101",river,"0",Струмица,52469.69996560000
"182","188673345","8101",river,"0",Радовишка Река,18055.41910150000
"183","190363396","8101",river,"0",Велушка Река,15561.35894420000
"184","190883059","8102",stream,"0",Периш,7926.96570281000
"185","190892825","8101",river,"0",Светинколска Река,19678.65152100000
"186","191042978","8102",stream,"0",,5435.16981657000
"187","194225148","8101",river,"0",Росочка Река,2212.25067605000
"188","194225152","8101",river,"0",Гарска Река,11028.32982780000
"189","194225158","8101",river,"0",Мала Река,4068.93415077000
"190","194459356","8101",river,"0",Чардачница,2633.33751710000
"191","194459388","8103",canal,"0",Сушица,1400.95371627000
"192","194459417","8101",river,"0",Летница,2895.47300719000
"193","194612783","8101",river,"0",,49.99530880160
"194","194912319","8101",river,"0",,1928.75613236000
"195","194912320","8101",river,"0",Темница,7549.76564357000
"196","194912323","8101",river,"0",Зајаска Река,3800.14407258000
"197","194912331","8101",river,"0",Зајаска Река,4183.46857616000
"198","194912341","8101",river,"0",Студенчица,4269.66345164000
"199","194912359","8102",stream,"0",,1695.30451101000
"200","195286552","8104",drain,"0",,856.53567930400
"201","195288646","8104",drain,"0",,3157.92611942000
"202","195775602","8101",river,"0",Треска,39281.70173730000
"203","195803820","8101",river,"0",Голема Крушевска Река,2586.37713278000
"204","195804809","8101",river,"0",Мала Крушевска Река,810.51891781000
"205","198351893","8101",river,"0",Глабоко (Канал 6),6760.58367816000
"206","198352221","8101",river,"0",Тополчанска Река,3567.59148101000
"207","198352507","8104",drain,"0",,367.75691419000
"208","198367272","8103",canal,"0",Канал 2,7710.59387188000
"209","198367936","8101",river,"0",Кобел,7183.07212181000
"210","198470758","8103",canal,"0",Канал Агларци,4717.69961330000
"211","198471431","8101",river,"0",Путуруска Река,6251.71192947000
"212","198471536","8104",drain,"0",,319.46691073000
"213","198471583","8104",drain,"0",,226.98997648900
"214","198471598","8104",drain,"0",,97.00129039320
"215","198471615","8104",drain,"0",,202.42516966700
"216","198471619","8104",drain,"0",,52.60480652480
"217","198473727","8104",drain,"0",,171.06759369500
"218","198473773","8104",drain,"0",,344.02768050500
"219","198474891","8102",stream,"0",,176.82098803500
"220","198474895","8102",stream,"0",,101.98584443900
"221","198475108","8102",stream,"0",,71.97748242170
"222","198475155","8102",stream,"0",,92.53575249540
"223","198475156","8102",stream,"0",,28.96224540020
"224","198475163","8102",stream,"0",,79.50723536570
"225","198475305","8102",stream,"0",,495.54909086100
"226","198475307","8102",stream,"0",,54.77896052950
"227","198482418","8102",stream,"0",,208.40220982800
"228","198482421","8102",stream,"0",,127.30258143400
"229","198482423","8102",stream,"0",,187.16201763600
"230","198482437","8102",stream,"0",,255.57297325900
"231","198482463","8102",stream,"0",,141.04271518700
"232","198482667","8102",stream,"0",,572.11381901400
"233","198482836","8102",stream,"0",,303.07260137100
"234","198483022","8102",stream,"0",,373.25206844000
"235","198483530","8102",stream,"0",,1340.50990200000
"236","198626403","8101",river,"0",Сушица,2162.78531651000
"237","198802856","8101",river,"0",Канал Сатеска Река,24752.07069200000
"238","199522738","8102",stream,"0",,426.34517643200
"239","199522760","8102",stream,"0",,292.49683760900
"240","199522901","8102",stream,"0",,1088.43805809000
"241","199686668","8102",stream,"0",,216.13905682800
"242","199687223","8102",stream,"0",,2794.49445049000
"243","201335289","8104",drain,"0",,144.58531020100
"244","201335290","8102",stream,"0",Жупаница,7858.70953443000
"245","201335292","8104",drain,"0",,148.49345871300
"246","201335293","8104",drain,"0",,42.02473738110
"247","201335294","8104",drain,"0",,208.73984241900
"248","201335295","8104",drain,"0",,89.78817411040
"249","203946222","8102",stream,"0",,3369.33828725000
"250","203946223","8102",stream,"0",,1699.92242137000
"251","203946224","8102",stream,"0",,2927.40290869000
"252","203946225","8102",stream,"0",,1078.67420616000
"253","203946582","8101",river,"0",,1818.31410819000
"254","205968301","8104",drain,"0",,7105.69452137000
"255","208066024","8102",stream,"0",,10955.98569600000
"256","208568980","8102",stream,"0",,314.56185809800
"257","208569961","8102",stream,"0",,211.60947763100
"258","208570495","8102",stream,"0",,48.30633705470
"259","209834830","8104",drain,"0",,24.66134420420
"260","210085283","8101",river,"0",,2516.57015649000
"261","210109131","8102",stream,"0",,1634.50780832000
"262","210189148","8104",drain,"0",,766.83686638700
"263","210411124","8104",drain,"0",,1692.91555607000
"264","210411125","8104",drain,"0",,1397.56263368000
"265","210411127","8101",river,"0",Prisso,694.94777497100
"266","210411128","8101",river,"0",Prisso,11.30522184460
"267","214772137","8104",drain,"0",,138.22453816900
"268","214773796","8104",drain,"0",,153.15237597600
"269","214775763","8104",drain,"0",,347.76966054000
"270","214775771","8104",drain,"0",,7.46281231693
"271","214775939","8104",drain,"0",,151.55571703300
"272","215848275","8104",drain,"0",,83.57299689420
"273","215851829","8104",drain,"0",,426.87548049900
"274","215864600","8104",drain,"0",,585.39531278700
"275","215864603","8104",drain,"0",,420.33206425000
"276","215864605","8104",drain,"0",,573.75464482000
"277","215869652","8104",drain,"0",,137.10209308000
"278","215869654","8104",drain,"0",,183.27000484900
"279","215869655","8104",drain,"0",,485.76826534500
"280","215869656","8104",drain,"0",,152.16231323800
"281","215869657","8104",drain,"0",,160.58800547700
"282","215869658","8104",drain,"0",,220.86539763600
"283","215869660","8104",drain,"0",,382.73096606200
"284","215869661","8104",drain,"0",,242.64585811800
"285","215869663","8104",drain,"0",,478.52480706700
"286","215869664","8104",drain,"0",,122.81825256000
"287","215869665","8104",drain,"0",,344.19985898400
"288","215869667","8104",drain,"0",,369.24368978600
"289","215869668","8104",drain,"0",,765.76107577100
"290","215869670","8104",drain,"0",,1885.13383869000
"291","215869672","8104",drain,"0",,446.49323729900
"292","215869673","8104",drain,"0",,251.01559218400
"293","215869675","8104",drain,"0",,296.20311937800
"294","215869676","8104",drain,"0",,206.61059783200
"295","215869677","8104",drain,"0",,183.56368223400
"296","215869679","8104",drain,"0",,1002.37120012000
"297","215871828","8104",drain,"0",,308.01011420400
"298","215871829","8104",drain,"0",,370.65708905700
"299","215871830","8102",stream,"0",,3767.30905282000
"300","216046215","8101",river,"0",,46.57910577520
"301","217112078","8104",drain,"0",,39.79411632350
"302","217112080","8104",drain,"0",,12.30848437090
"303","217112536","8104",drain,"0",,15.75481262680
"304","217112538","8104",drain,"0",,40.20073330120
"305","217549921","8102",stream,"0",,1557.78552774000
"306","217867868","8104",drain,"0",,739.19715496600
"307","219896823","8104",drain,"0",,174.58298942300
"308","219896825","8104",drain,"0",,315.66942605800
"309","219897188","8104",drain,"0",,360.64129248300
"310","219897190","8104",drain,"0",,390.43700858100
"311","219897191","8104",drain,"0",,311.99355685500
"312","219897796","8104",drain,"0",,245.43039827400
"313","219897797","8104",drain,"0",,83.97296983370
"314","219897798","8104",drain,"0",,64.82699496540
"315","219897799","8104",drain,"0",,455.25408717100
"316","219897800","8104",drain,"0",,147.86978359600
"317","219897801","8104",drain,"0",,317.49767336400
"318","219897802","8104",drain,"0",,113.19206700100
"319","219897803","8104",drain,"0",,263.23016772000
"320","220214498","8101",river,"0",Рибник,12996.48057170000
"321","220214696","8103",canal,"0",,2287.56208553000
"322","221919002","8102",stream,"0",,541.02973737400
"323","221919010","8102",stream,"0",,6250.90392638000
"324","222018857","8104",drain,"0",,17.91948537810
"325","222019445","8104",drain,"0",,25.17415918560
"326","222019460","8104",drain,"0",,14.54273617780
"327","222157200","8102",stream,"0",,28.99651586870
"328","222189163","8104",drain,"0",,78.09114602730
"329","222189164","8104",drain,"0",,165.44993377200
"330","222189165","8104",drain,"0",,83.74719389120
"331","222189166","8104",drain,"0",,255.64138687600
"332","222189167","8104",drain,"0",,1022.51727415000
"333","222189168","8104",drain,"0",,74.62180631230
"334","222189169","8104",drain,"0",,70.43098095920
"335","222189170","8104",drain,"0",,121.74922400700
"336","222189171","8104",drain,"0",,28.43279742710
"337","222351887","8104",drain,"0",,137.10356246800
"338","222368118","8102",stream,"0",,1242.78283750000
"339","222884222","8104",drain,"0",,47.92629629810
"340","222885037","8102",stream,"0",,21.91504383410
"341","222891856","8103",canal,"0",,983.52933296700
"342","223011950","8102",stream,"0",Зелен Камен,1302.50649773000
"343","223300693","8102",stream,"0",,225.91935316200
"344","223300856","8102",stream,"0",,215.36641566300
"345","224620890","8102",stream,"0",Црна Река,183.95189254500
"346","224620893","8104",drain,"0",,7.58482620708
