OBJECTID,Bas0_ID,WXSOID,BASINNAME,ISLANDNAME,Window_C,System_CD,Sea_CD,ShorCD,Nb_catch,LevelC,SortC,ECRVers,CalcNum,WX02ID,NextDown_I,W1LinkD,W1LinkU,ExportVers,WX03ID,Is_BasS3,Is_Coast,Is_Anomaly,Is_Upstrea,Exutoire,ZHYD,SS,SB,B,ZG,FRBD,FRBD_BC,FSU,NextDown,Outlet,Ctry,Nuts2,ZU1,ZU2,DRAINPPAL,Code_Arbo,Surf,Surfc,Surffinal,LIbelle,Mean_Elev,Ild_EcrID,CTRY_,Shape_Leng,Shape_Area
"4422",W3CC008001,JSO1151207,,,"2009",C,"12204",CC,"3","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008001,WSS0353000,WSB0000696,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1151207,WCY_____GR,WNT____GR1,,,Z_G4090651,*,41.70000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,57000.00000000000,41700000.00000000000
"4423",W3CC008101,JSO1206300,,,"2009",C,"12204",CC,"0","0","0","2","30",,,,,"2",,"0","1","0","1","0",W3CC008101,WSS0355000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,,WCY_____GR,WNT____GR1,,,,*,2.73000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,16200.00000000000,2730000.00000000000
"4424",W3CC008201,JSO1149992,,,"2009",C,"12204",CC,"21","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008201,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1149992,WCY_____GR,WNT____GR1,,,Z_G4070081,*,90.14000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,90800.00000000000,90140000.00000000000
"4425",W3CC008301,JSO1148923,,,"2009",C,"12204",CC,"3","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008301,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1148923,WCY_____GR,WNT____GR1,,,Z_G4090661,*,42.74000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,46200.00000000000,42740000.00000000000
"4426",W3CC008401,JSO1087917,,,"2009",C,"12204",CC,"24","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008401,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1087917,WCY_____GR,WNT____GR1,,,Z_G4070112,*,87.77000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,66600.00000000000,87770000.00000000000
"4427",W3CC008501,JSO1206273,,,"2009",C,"12204",CC,"0","0","0","2","30",,,,,"2",,"0","1","0","1","0",W3CC008501,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,,WCY_____GR,WNT____GR1,,,,*,0.05000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,1200.00000000000,50000.00000000000
"4428",W3CC008601,JSO1088260,,,"2009",C,"12204",CC,"15","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008601,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1088260,WCY_____GR,WNT____GR1,,,Z_G4070141,*,96.10000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,79800.00000000000,96100000.00000000000
"4429",W3CC008602,JSO1088738,,,"2009",C,"12204",CC,"25","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008602,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1152093,WCY_____GR,WNT____GR1,,,Z_G4047252,*,104.88000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,64200.00000000000,104880000.00000000000
"4430",W3CC008603,JSO1088634,,,"2009",C,"12204",CC,"16","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008603,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1088634,WCY_____GR,WNT____GR1,,,Z_G4070171,*,105.74000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,70800.00000000000,105740000.00000000000
"4431",W3CC008604,JSO1088651,,,"2009",C,"12204",CC,"49","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC008604,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1088651,WCY_____GR,WNT____GR1,,,Z_G4028022,*,133.14000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,75600.00000000000,133140000.00000000000
"4446",W3CC009301,JSO1146726,,,"2009",C,"12204",CC,"10","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3CC009301,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1146726,WCY_____GR,WNT____GR1,,,Z_G4083451,*,22.75000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____GR,35600.00000000000,22750000.00000000000
