SITECODE,SITENAME,RELEASE_DA,MS,SITETYPE
GR1150005,KORYFES OROUS PANGAIO,2018/03/02,GR,B
GR1150011,OROS PANGAIO KAI NOTIES YPOREIES TOU,2018/03/02,GR,A
GR1220001,LIMNES VOLVI KAI LAGKADA - EVRYTERI PERIOCHI,2018/03/02,GR,B
GR1220002,DELTA AXIOU - LOUDIA - ALIAKMONA - EVRYTERI PERIOCHI - AXIOUPOLI,2018/03/02,GR,B
GR1220003,STENA RENTINAS - EVRYTERI PERIOCHI,2018/03/02,GR,B
GR1220005,LIMNOTHALASSA ANGELOCHORIOU,2018/03/02,GR,C
GR1220009,"LIMNES KORONEIAS - VOLVIS, STENA RENTINAS KAI EVRYTERI PERIOCHI",2018/03/02,GR,A
GR1220010,DELTA AXIOU - LOUDIA - ALIAKMONA - ALYKI KITROUS,2018/03/02,GR,A
GR1220011,LIMNOTHALASSA EPANOMIS,2018/03/02,GR,A
GR1220012,LIMNOTHALASSA EPANOMIS KAI THALASSIA PARAKTIA ZONI,2018/03/02,GR,B
GR1230001,LIMNI PIKROLIMNI,2018/03/02,GR,B
GR1230002,YDROCHARES DASOS MOURION,2018/03/02,GR,B
GR1230003,LIMNI DOIRANI,2018/03/02,GR,A
GR1230004,LIMNI PIKROLIMNI - XILOKERATEA,2018/03/02,GR,A
GR1230005,PERIOCHI ELOUS ARTZAN,2018/03/02,GR,A
GR1230006,PERIOCHI ANTHOFYTOU,2018/03/02,GR,A
GR1240001,KORYFES OROUS VORA,2018/03/02,GR,B
GR1240002,ORI TZENA,2018/03/02,GR,B
GR1240003,OROS PAIKO,2018/03/02,GR,B
GR1240004,LIMNI AGRA,2018/03/02,GR,B
GR1240005,STENA APSALOU - MOGLENITSAS,2018/03/02,GR,B
GR1240006,LIMNI KAI FRAGMA AGRA,2018/03/02,GR,A
GR1240007,ORI TZENA KAI PINOVO,2018/03/02,GR,A
GR1240008,OROS VORAS,2018/03/02,GR,A
GR1240009,"OROS PAIKO, STENA APSALOU KAI MOGLENITSAS",2018/03/02,GR,A
GR1260001,"LIMNI KERKINI - KROUSIA - KORYFES OROUS BELES, ANGISTRO - CHAROPO",2018/03/02,GR,B
GR1260002,EKVOLES POTAMOU STRYMONA,2018/03/02,GR,C
GR1260003,AI GIANNIS - EPTAMYLOI,2018/03/02,GR,B
GR1260004,KORYFES OROUS MENOIKION - OROS KOUSKOURAS - YPSOMA,2018/03/02,GR,B
GR1260005,KORYFES OROUS ORVILOS,2018/03/02,GR,B
GR1260007,ORI VRONTOUS - LAILIAS - EPIMIKES,2018/03/02,GR,B
GR1260008,TECHNITI LIMNI KERKINIS - OROS KROUSIA,2018/03/02,GR,A
GR1260009,KOILADA TIMIOU PRODROMOU-MENOIKION,2018/03/02,GR,A
GR1260010,OROS BELES,2018/03/02,GR,A
GR1340001,ETHNIKOS DRYMOS PRESPON,2018/03/02,GR,C
GR1340003,ORI VARNOUNTA,2018/03/02,GR,C
GR1340004,LIMNES VEGORITIDA - PETRON,2018/03/02,GR,B
GR1340005,LIMNES CHEIMADITIDA - ZAZARI,2018/03/02,GR,B
GR1340006,OROS VERNON - KORYFI VITSI,2018/03/02,GR,B
GR1340007,LIMNI PETRON,2018/03/02,GR,A
GR1340008,LIMNES ChEIMADITIDA KAI ZAZARI,2018/03/02,GR,A
GR1340009,ORI VARNOUNTA  EVRYTERI PERIOCHI,2018/03/02,GR,B
GR1340010,ETHNIKOS DRYMOS PRESPON  EVRYTERI PERIOCHI,2018/03/02,GR,B
