FID_clc_ch,OBJECTID,Change,ID,Code_12,Code_18
"0","1784",131-323,EU-1784,"131","323"
"1","1820",131-324,EU-1820,"131","324"
"2","2334",131-512,EU-2334,"131","512"
"3","2570",132-131,EU-2570,"132","131"
"4","5972",133-121,EU-5972,"133","121"
"5","9571",133-321,EU-9572,"133","321"
"6","9635",133-324,EU-9636,"133","324"
"7","9636",133-324,EU-9637,"133","324"
"8","9777",133-512,EU-9778,"133","512"
"9","13110",211-121,EU-13111,"211","121"
"10","13159",211-121,EU-13160,"211","121"
"11","13169",211-121,EU-13170,"211","121"
"12","13206",211-121,EU-13207,"211","121"
"13","13212",211-121,EU-13213,"211","121"
"14","16719",211-122,EU-16720,"211","122"
"15","17274",211-131,EU-17275,"211","131"
"16","17277",211-131,EU-17278,"211","131"
"17","17288",211-131,EU-17289,"211","131"
"18","17290",211-131,EU-17291,"211","131"
"19","17292",211-131,EU-17293,"211","131"
"20","17293",211-131,EU-17294,"211","131"
"21","17299",211-131,EU-17300,"211","131"
"22","17300",211-131,EU-17301,"211","131"
"23","17302",211-131,EU-17303,"211","131"
"24","17330",211-131,EU-17331,"211","131"
"25","19202",211-132,EU-19203,"211","132"
"26","19469",211-133,EU-19470,"211","133"
"27","19473",211-133,EU-19474,"211","133"
"28","19481",211-133,EU-19482,"211","133"
"29","19484",211-133,EU-19485,"211","133"
"30","19503",211-133,EU-19504,"211","133"
"31","19504",211-133,EU-19505,"211","133"
"32","19516",211-133,EU-19517,"211","133"
"33","23627",211-213,EU-23628,"211","213"
"34","23628",211-213,EU-23629,"211","213"
"35","24529",211-221,EU-24530,"211","221"
"36","24559",211-221,EU-24560,"211","221"
"37","24565",211-221,EU-24566,"211","221"
"38","24567",211-221,EU-24568,"211","221"
"39","24570",211-221,EU-24571,"211","221"
"40","24572",211-221,EU-24573,"211","221"
"41","24573",211-221,EU-24574,"211","221"
"42","24574",211-221,EU-24575,"211","221"
"43","24579",211-221,EU-24580,"211","221"
"44","24580",211-221,EU-24581,"211","221"
"45","24581",211-221,EU-24582,"211","221"
"46","24582",211-221,EU-24583,"211","221"
"47","24584",211-221,EU-24585,"211","221"
"48","24586",211-221,EU-24587,"211","221"
"49","24605",211-221,EU-24606,"211","221"
"50","28646",211-231,EU-28647,"211","231"
"51","35011",211-242,EU-35012,"211","242"
"52","35012",211-242,EU-35013,"211","242"
"53","35365",211-321,EU-35366,"211","321"
"54","35366",211-321,EU-35367,"211","321"
"55","35367",211-321,EU-35368,"211","321"
"56","35368",211-321,EU-35369,"211","321"
"57","37178",211-334,EU-37179,"211","334"
"58","37242",211-511,EU-37243,"211","511"
"59","37313",211-512,EU-37314,"211","512"
"60","38033",212-121,EU-38034,"212","121"
"61","38034",212-121,EU-38035,"212","121"
"62","38203",212-122,EU-38204,"212","122"
"63","38252",212-131,EU-38253,"212","131"
"64","38253",212-131,EU-38254,"212","131"
"65","40116",212-511,EU-40117,"212","511"
"66","40117",212-511,EU-40118,"212","511"
"67","40143",212-512,EU-40144,"212","512"
"68","40146",212-512,EU-40147,"212","512"
"69","40209",213-211,EU-40210,"213","211"
"70","40399",221-121,EU-40400,"221","121"
"71","40400",221-121,EU-40401,"221","121"
"72","40481",221-131,EU-40482,"221","131"
"73","40509",221-133,EU-40510,"221","133"
"74","40510",221-133,EU-40511,"221","133"
"75","41080",221-211,EU-41081,"221","211"
"76","41100",221-211,EU-41101,"221","211"
"77","41102",221-211,EU-41103,"221","211"
"78","41103",221-211,EU-41104,"221","211"
"79","41106",221-211,EU-41107,"221","211"
"80","41107",221-211,EU-41108,"221","211"
"81","41108",221-211,EU-41109,"221","211"
"82","41964",221-231,EU-41965,"221","231"
"83","42007",221-242,EU-42008,"221","242"
"84","42298",221-512,EU-42299,"221","512"
"85","42299",221-512,EU-42300,"221","512"
"86","44409",222-242,EU-44410,"222","242"
"87","44550",222-411,EU-44551,"222","411"
"88","44557",222-512,EU-44558,"222","512"
"89","44558",222-512,EU-44559,"222","512"
"90","44559",222-512,EU-44560,"222","512"
"91","45679",231-112,EU-45680,"231","112"
"92","46708",231-121,EU-46709,"231","121"
"93","48385",231-131,EU-48386,"231","131"
"94","48391",231-131,EU-48392,"231","131"
"95","48392",231-131,EU-48393,"231","131"
"96","48397",231-131,EU-48398,"231","131"
"97","48399",231-131,EU-48400,"231","131"
"98","48407",231-131,EU-48408,"231","131"
"99","48423",231-131,EU-48424,"231","131"
"100","48424",231-131,EU-48425,"231","131"
"101","48425",231-131,EU-48426,"231","131"
"102","48435",231-131,EU-48436,"231","131"
"103","48437",231-131,EU-48438,"231","131"
"104","48438",231-131,EU-48439,"231","131"
"105","49101",231-132,EU-49102,"231","132"
"106","49102",231-132,EU-49103,"231","132"
"107","49378",231-133,EU-49379,"231","133"
"108","49380",231-133,EU-49381,"231","133"
"109","49393",231-133,EU-49394,"231","133"
"110","49401",231-133,EU-49402,"231","133"
"111","49406",231-133,EU-49407,"231","133"
"112","49409",231-133,EU-49410,"231","133"
"113","49412",231-133,EU-49413,"231","133"
"114","51543",231-211,EU-51544,"231","211"
"115","51566",231-211,EU-51567,"231","211"
"116","51649",231-211,EU-51650,"231","211"
"117","64515",231-221,EU-64516,"231","221"
"118","64517",231-221,EU-64518,"231","221"
"119","64518",231-221,EU-64519,"231","221"
"120","64520",231-221,EU-64521,"231","221"
"121","64523",231-221,EU-64524,"231","221"
"122","64995",231-242,EU-64996,"231","242"
"123","65090",231-243,EU-65091,"231","243"
"124","65091",231-243,EU-65092,"231","243"
"125","65092",231-243,EU-65093,"231","243"
"126","67382",231-511,EU-67383,"231","511"
"127","67422",231-512,EU-67423,"231","512"
"128","68613",242-121,EU-68614,"242","121"
"129","68614",242-121,EU-68615,"242","121"
"130","68629",242-121,EU-68630,"242","121"
"131","68648",242-121,EU-68649,"242","121"
"132","68659",242-121,EU-68660,"242","121"
"133","69300",242-131,EU-69301,"242","131"
"134","69301",242-131,EU-69302,"242","131"
"135","69302",242-131,EU-69303,"242","131"
"136","69305",242-131,EU-69306,"242","131"
"137","69323",242-131,EU-69324,"242","131"
"138","69331",242-131,EU-69332,"242","131"
"139","69332",242-131,EU-69333,"242","131"
"140","69621",242-133,EU-69622,"242","133"
"141","69622",242-133,EU-69623,"242","133"
"142","69624",242-133,EU-69625,"242","133"
"143","69626",242-133,EU-69627,"242","133"
"144","69627",242-133,EU-69628,"242","133"
"145","69628",242-133,EU-69629,"242","133"
"146","69633",242-133,EU-69634,"242","133"
"147","69634",242-133,EU-69635,"242","133"
"148","69636",242-133,EU-69637,"242","133"
"149","70212",242-211,EU-70213,"242","211"
"150","70219",242-211,EU-70220,"242","211"
"151","70220",242-211,EU-70221,"242","211"
"152","70398",242-213,EU-70399,"242","213"
"153","70399",242-213,EU-70400,"242","213"
"154","70410",242-221,EU-70411,"242","221"
"155","70530",242-222,EU-70531,"242","222"
"156","70575",242-231,EU-70576,"242","231"
"157","70576",242-231,EU-70577,"242","231"
